时间_Start,时间_End,TIME,PM25,O3,NO2,PM10,SO2,CO,AQI,Major_pollutant,quality
2015/7/5 21:00,2015/7/5 22:00,21,29,29,15,23,3,6,29,,优
2015/7/5 22:00,2015/7/5 23:00,22,23,29,14,22,3,6,29,,优
2015/7/5 23:00,2015/7/6 0:00,23,20,28,14,21,3,6,28,,优
2015/7/6 0:00,2015/7/6 1:00,0,26,27,13,26,3,6,27,,优
2015/7/6 1:00,2015/7/6 2:00,1,32,27,13,26,3,6,32,,优
2015/7/6 2:00,2015/7/6 3:00,2,29,30,10,24,3,5,30,,优
2015/7/6 3:00,2015/7/6 4:00,3,26,33,8,20,3,5,33,,优
2015/7/6 4:00,2015/7/6 5:00,4,23,33,8,19,3,5,33,,优
2015/7/6 5:00,2015/7/6 6:00,5,20,31,11,20,4,6,31,,优
2015/7/6 6:00,2015/7/6 7:00,6,20,25,20,24,4,6,25,,优
2015/7/6 7:00,2015/7/6 8:00,7,26,21,27,31,4,7,31,,优
2015/7/6 8:00,2015/7/6 9:00,8,32,27,20,34,4,7,34,,优
2015/7/6 9:00,2015/7/6 10:00,9,38,27,18,39,4,7,39,,优
2015/7/6 10:00,2015/7/6 11:00,10,46,27,17,43,4,7,46,,优
2015/7/6 11:00,2015/7/6 12:00,11,49,30,12,37,4,6,49,,优
2015/7/6 12:00,2015/7/6 13:00,12,35,33,10,25,4,5,35,,优
2015/7/6 13:00,2015/7/6 14:00,13,18,33,12,14,4,4,33,,优
2015/7/6 14:00,2015/7/6 15:00,14,13,31,14,16,4,5,31,,优
2015/7/6 15:00,2015/7/6 16:00,15,10,30,16,11,4,5,30,,优
2015/7/6 16:00,2015/7/6 17:00,16,12,31,17,13,4,5,31,,优
2015/7/6 17:00,2015/7/6 18:00,17,12,28,20,16,4,6,28,,优
2015/7/6 18:00,2015/7/6 19:00,18,16,26,23,20,4,6,26,,优
2015/7/6 19:00,2015/7/6 20:00,19,20,28,20,21,4,6,28,,优
2015/7/6 20:00,2015/7/6 21:00,20,16,29,17,22,4,6,29,,优
2015/7/6 21:00,2015/7/6 22:00,21,19,31,14,20,3,6,31,,优
2015/7/6 22:00,2015/7/6 23:00,22,18,32,13,17,4,5,32,,优
2015/7/6 23:00,2015/7/7 0:00,23,19,33,11,19,4,5,33,,优
2015/7/7 0:00,2015/7/7 1:00,0,20,33,9,22,3,5,33,,优
2015/7/7 1:00,2015/7/7 2:00,1,23,38,8,21,4,5,38,,优
2015/7/7 2:00,2015/7/7 3:00,2,20,36,7,18,4,5,36,,优
2015/7/7 3:00,2015/7/7 4:00,3,19,37,7,18,4,5,37,,优
